Rank,Name,Symbol,Price,Circulating Supply
101,Neutrino USD,USDN,0.97,529852006
102,Qtum,QTUM,5.19,98980785
103,SwissBorg,CHSB,0.51,1000000000
104,Syscoin,SYS,0.81,632181207
105,APENFT,NFT,0,277080562500000
106,WOO Network,WOO,0.56,882291250
107,WAX,WAXP,0.26,1914135327
108,Ankr,ANKR,0.06,8162899378
109,Celsius,CEL,2.04,238863520
110,Zilliqa,ZIL,0.04,12308151887
111,Voyager Token,VGX,1.7,278482214
112,GateToken,GT,6,78186405
113,Bitcoin Gold,BTG,26.84,17513924
114,Livepeer,LPT,21.62,21164655
115,Kava,KAVA,3.03,148196847
116,Perpetual Protocol,PERP,5.94,74475000
117,ICON,ICX,0.62,705946200
118,Siacoin,SC,0.01,49944562992
119,Gnosis,GNO,232.07,1865027
120,Synthetix,SNX,3.74,114841533
121,Revain,REV,0.01,85061485690
122,Fei USD,FEI,1,424996178
123,Audius,AUDIO,0.81,515745635
124,0x,ZRX,0.48,847496055
125,Dogelon Mars,ELON,0,553674240976307
126,Immutable X,IMX,2.1,188160768
127,Horizen,ZEN,32.14,11990444
128,Nervos Network,CKB,0.01,29512850615
129,Ontology,ONT,0.43,875249524
130,IOST,IOST,0.02,18099719631
131,Telcoin,TEL,0.01,59039673943
132,UMA,UMA,5.5,65109502
133,dYdX,DYDX,5.39,65569295
134,Ocean Protocol,OCEAN,0.56,613099141
135,Storj,STORJ,0.97,352601749
136,PAX Gold,PAXG,1842.53,181828
137,SKALE Network,SKL,0.1,3182311004
138,Nano,XNO,2.38,133248297
139,Hive,HIVE,0.76,401516395
140,Flux,FLUX,1.35,224849292
141,Celer Network,CELR,0.05,6193044190
142,NuCypher,NU,0.42,703000000
143,Polymath,POLY,0.32,898550830
144,DigiByte,DGB,0.02,15037249697
145,Golem,GLM,0.29,1000000000
146,Chromia,CHR,0.49,567369439
147,WINkLink,WIN,0,961737300000
148,Serum,SRM,2.01,133231781
149,Raydium,RAY,3.3,81161314
150,JUST,JST,0.04,7300425000
151,DigitalBits,XDB,0.3,874608082
152,Ren,REN,0.26,997764051
153,XYO,XYO,0.02,12844821266
154,Gemini Dollar,GUSD,1,251495589
155,Keep3rV1,KP3R,1210.73,200001
156,Casper,CSPR,0.08,3068199319
157,Ultra,UOS,0.84,282752124
158,Powerledger,POWR,0.51,464486097
159,WazirX,WRX,0.72,325056864
160,Dent,DENT,0,99007791203
161,Fetch.ai,FET,0.3,746113681
162,Reserve Rights,RSR,0.02,13159997677
163,Swipe,SXP,1.17,193968789
164,Request,REQ,0.22,999877116
165,CEEK VR,CEEK,0.29,744176729
166,Dusk Network,DUSK,0.53,389489794
167,COTI,COTI,0.24,868672118
168,Moonriver,MOVR,71.94,2836314
169,Cartesi,CTSI,0.4,499903628
170,Function X,FX,0.48,408520357
171,Mdex,MDX,0.23,838572541
172,Aragon,ANT,4.99,39609523
173,Lisk,LSK,1.49,128900445
174,OriginTrail,TRAC,0.52,364017112
175,Chrono.tech,TIME,265.75,710112
176,MyNeighborAlice,ALICE,6.15,30600000
177,Propy,PRO,2.46,73851416
178,MediBloc,MED,0.03,5382401140
179,Constellation,DAG,0.14,1266911931
180,aelf,ELF,0.33,544480200
181,Injective,INJ,3.94,43653971
182,Biconomy,BICO,1.96,86152354
183,MXC,MXC,0.06,2642132373
184,Energy Web Token,EWT,5.55,30062138
185,ASD,ASD,0.25,660615274
186,Alpha Finance Lab,ALPHA,0.37,446330126
187,Dvision Network,DVI,0.56,292396290
188,Reef,REEF,0.01,17530705935
189,Bitcoin Standard Hashrate Token,BTCST,13.95,11415813
190,Bitcoin Diamond,BCD,0.85,186492898
191,Ontology Gas,ONG,0.58,271138989
192,Orbs,ORBS,0.05,2876767039
193,MX TOKEN,MX,1.55,100000000
194,VeThor Token,VTHO,0,44847998624
195,Ardor,ARDR,0.15,998999495
196,Orchid,OXT,0.21,690690084
197,Status,SNT,0.04,3470483788
198,Divi,DIVI,0.05,2705204928
199,Sun (New),SUN,0.01,10514908025
200,Prometeus,PROM,8.7,16450000
201,HEX,HEX,0.18,173411074413
202,Lido stETH,STETH,2282.13,1769506
203,Toncoin,TONCOIN,2.29,1221401181
204,Frax,FRAX,1,2627305403
205,Wrapped BNB,WBNB,350.55,5210331
206,BitTorrent (New),BTN,0,932497500000000
207,Huobi BTC,HBTC,34303.29,39884
208,Counos X,CCXX,74.52,17864463
209,Convex Finance,CVX,25.57,47342893
210,Alitas,ALT,19.54,60000000
211,ECOMI,OMI,0.01,166285821196
212,SafeMoon,SAFEMOON,0,585536366402812
213,Venus BNB,vBNB,10.91,84327095
214,yOUcash,YOUC,0.13,6816734542
215,BitDAO,BIT,1.47,586278943
216,Symbol,XYM,0.15,5582460005
217,Liquity USD,LUSD,1.02,719446095
218,DeFiChain,DFI,2.37,300511840
219,The Transfer Token,TTT,6.38,104789399
220,LINK,LN,103.24,5975799
221,Spell Token,SPELL,0.01,81140814598
222,KOK,KOK,5.48,107333422
223,Moonbeam,GLMR,7.18,77770354
224,WEMIX,WEMIX,4.45,123233682
225,Decentralized Social,DESO,58.97,8884536
226,NXM,NXM,76.64,6609967
227,Rally,RLY,0.22,2356274733
228,WhiteCoin,XWC,0.59,744201249
229,HUSD,HUSD,1,403633747
230,Render Token,RNDR,1.94,199138294
231,Anyswap,ANY,19.34,18639320
232,Illuvium,ILV,526.68,642892
233,Tribe,TRIBE,0.72,453448622
234,MobileCoin,MOB,4.41,74218324
235,Anchor Protocol,ANC,1.53,209120572
236,Ethereum Name Service,ENS,15.45,20244862
237,Frax Share,FXS,18.85,16209405
238,Bitpanda Ecosystem Token,BEST,0.83,361063664
239,Radio Caca,RACA,0,181850767347
240,Persistence,XPRT,3.74,77802696
241,MetisDAO,METIS,135.31,2069953
242,Metahero,HERO,0.05,5095643290
243,Coin98,C98,1.43,185000000
244,Origin Dollar,OUSD,1,261976398
245,Victoria VR,VR,0.36,710300737
246,Kyber Network Crystal v2,KNC,1.44,177809350
247,Rocket Pool,RPL,24.68,10279742
248,Boba Network,BOBA,1.58,158303171
249,Rari Governance Token,RGT,20.38,12135179
250,GlitzKoin,GTN,1,247499428
251,SuperFarm,SUPER,0.59,404410904
252,Aurora,AURORA,11.76,20088437
253,Keep Network,KEEP,0.38,621859907
254,Braintrust,BTRST,2.66,87931851
255,Chia,XCH,79.07,2933782
256,JasmyCoin,JASMY,0.05,4754930780
257,Everscale,EVER,0.3,735353906
258,HedgeTrade,HEDG,0.62,348731468
259,PlayDapp,PLA,0.71,302211852
260,XSGD,XSGD,0.72,285197457
261,Bloktopia,BLOK,0.02,8338704276
262,Yield Guild Games,YGG,2.43,82849894
263,Akash Network,AKT,1.71,113861304
264,Venus BTC,vBTC,946.81,205836
265,Sapphire,SAPP,0.36,537572916
266,Tether Gold,XAUT,1835,105549
267,MOBOX,MBOX,2.42,79853076
268,Veritaseum,VERI,88.9,2149646
269,UFO Gaming,UFO,0,25757575757576
270,LUKSO,LYXe,11.72,15205916
271,Pundi X (New),PUNDIX,0.68,258491637
272,ConstitutionDAO,PEOPLE,0.03,5060137335
273,Orbit Chain,ORC,0.3,585198076
274,Vulcan Forged PYR,PYR,7.21,23897700
275,Bloomzed Loyalty Club Ticket,BLCT,4.53,38000000
276,DEAPcoin,DEP,0.05,3638075938
277,Bifrost (BFC),BFC,0.16,1061449456
278,DAO Maker,DAO,2.69,63125122
279,OpenDAO,SOS,0,100000000000000
280,Trust Wallet Token,TWT,0.47,346951186
281,Alchemix,ALCX,151.17,1062416
282,Safe,SAFE,7.57,20835499
283,YooShi,YOOSHI,0,375047515453178
284,Venus ETH,vETH,74.97,2033994
285,Hathor,HTR,0.66,225742408
286,PlatON,LAT,0.06,2295858129
287,Mask Network,MASK,5,29130723
288,Mango,MNGO,0.15,1000000000
289,Verge,XVG,0.01,16494205088
290,DeversiFi,DVF,5.95,24147148
291,Alchemy Pay,ACH,0.04,3876629169
292,Starlink,STARL,0,9979172029858
293,MaidSafeCoin,MAID,0.31,452552412
294,API3,API3,3.78,36907810
295,Phantasma,SOUL,1.33,104060056
296,Humanscape,HUM,0.19,711409623
297,Orion Protocol,ORN,3.28,41150000
298,Telos,TLOS,0.5,270123444
299,USDX [Kava],USDX,0.96,139834593
300,Civic,CVC,0.2,670000000
301,inSure DeFi,SURE,0,26790063175
302,Throne,THN,0.34,388584354
303,iExec RLC,RLC,1.64,80070793
304,Seedify.fund,SFUND,5.43,24083229
305,Radicle,RAD,4.99,26176264
306,Hxro,HXRO,0.32,407377366
307,Augur,REP,11.71,11000000
308,Wilder World,WILD,1.53,83683300
309,CENNZnet,CENNZ,0.11,1200000000
310,Polkastarter,POLS,1.46,88221432
311,RMRK,RMRK,13.35,9500000
312,Conflux,CFX,0.1,1295483469
313,NKN,NKN,0.18,700000000
314,Pirate Chain,ARRR,0.66,189768679
315,Aavegotchi,GHST,2.02,62005242
316,KardiaChain,KAI,0.04,3246500000
317,Unibright,UBT,0.81,149999999
318,ABBC Coin,ABBC,0.13,961995879
319,StormX,STMX,0.01,10000000000
320,Stratis,STRAX,0.89,133167627
321,STASIS EURO,EURS,1.13,104125940
322,e-Radix,EXRD,0.16,734834633
323,Electroneum,ETN,0.01,17911659826
324,Numeraire,NMR,19.89,5888504
325,CRYPTO20,C20,2.86,39993155
326,Wrapped NCG (Nine Chronicles Gold),WNCG,0.95,119794315
327,Origin Protocol,OGN,0.29,388570733
328,Circuits of Value,COVAL,0.06,1786798096
329,Band Protocol,BAND,3.21,35191821
330,RSK Infrastructure Framework,RIF,0.14,818473340
331,Cratos,CRTS,0.01,18191189321
332,JOE,JOE,0.7,158853592
333,FUNToken,FUN,0.01,10989122591
334,Badger DAO,BADGER,8.79,12496465
335,Sovryn,SOV,5.19,20828361
336,Decentral Games,DG,0.28,383724568
337,Dawn Protocol,DAWN,1.53,70498404
338,SingularityNET,AGIX,0.12,873749675
339,BakeryToken,BAKE,0.55,193529486
340,Elastos,ELA,5.27,20346868
341,Steem,STEEM,0.27,394951699
342,Beefy Finance,BIFI,1450.75,72000
343,Sologenic,SOLO,0.52,200001808
344,X World Games,XWG,0.09,1159166664
345,Celo Dollar,CUSD,1,102749616
346,Centrifuge,CFG,0.64,158461624
347,Ark,ARK,0.76,134649215
348,Ampleforth,AMPL,0.82,124004529
349,Bonfida,FIDA,2.25,44729964
350,Venus USDC,vUSDC,0.02,4771015133
351,XeniosCoin,XNC,1.32,76274958
352,Deeper Network,DPR,0.1,1036755621
353,Metadium,META,0.06,1687369624
354,PEAKDEFI,PEAK,0.08,1249186656
355,Ergo,ERG,3.08,32012428
356,GXChain,GXC,1.31,75000000
357,Decentral Games [Old],DGO,283.86,346695
358,Swarm,BZZ,1.93,50353432
359,Enzyme,MLN,54.16,1792693
360,Utrust,UTK,0.21,460000000
361,MVL,MVL,0.01,13319841650
362,Mirror Protocol,MIR,1.23,77742680
363,sUSD,SUSD,1,94993203
364,SOMESING,SSX,0.04,2625109664
365,Rakon,RKN,0.39,242857143
366,Clover Finance,CLV,0.36,260975397
367,PolySwarm,NCT,0.06,1546457130
368,Biswap,BSW,0.53,178192218
369,Covalent,CQT,0.37,254842989
370,Sport and Leisure,SNL,0.14,678662953
371,Presearch,PRE,0.23,396578435
372,Chainbing,CBG,2.81,33000000
373,Venus,XVS,7.75,11941124
374,KILT Protocol,KILT,1.87,49420140
375,Metal,MTL,1.38,66588888
376,Star Atlas,ATLAS,0.04,2160000000
377,Aurory,AURY,9.51,9600000
378,Gitcoin,GTC,6.41,14198202
379,TrustSwap,SWAP,0.93,97555165
380,TrueFi,TRU,0.16,548956194
381,Aleph.im,ALEPH,0.49,185391831
382,Beta Finance,BETA,0.35,255833333
383,TomoChain,TOMO,1.01,89002738
384,Ellipsis,EPS,0.16,574690208
385,Zelwin,ZLW,1.23,72331834
386,Handshake,HNS,0.19,460119308
387,Alien Worlds,TLM,0.1,914030370
388,Standard Tokenization Protocol,STPT,0.06,1452836946
389,Uquid Coin,UQC,8.75,10000000
390,DeFi Pulse Index,DPI,155.36,558983
391,Proton,XPR,0.01,8967994630
392,AVINOC,AVINOC,0.22,389244472
393,ZB Token,ZB,0.18,463288810
394,TitanSwap,TITAN,1.59,53404160
395,Merit Circle,MC,1.99,42592000
396,Mines of Dalarnia,DAR,0.68,123200000
397,RSK Smart Bitcoin,RBTC,34266.64,2408
398,Hoo Token,HOO,1,82430424
399,Verasity,VRA,0.02,4470185346
400,cVault.finance,CORE,8129.11,10000
